iter	Passed	Remaining
401	16775	24955
402	16815	24910
403	16863	24878
404	16905	24836
405	16952	24801
406	16998	24767
407	17040	24726
408	17086	24690
409	17128	24648
410	17171	24608
411	17217	24571
412	17265	24539
413	17303	24492
414	17350	24457
415	17390	24413
416	17429	24368
417	17471	24325
418	17515	24287
419	17552	24239
420	17599	24204
421	17649	24173
422	17692	24133
423	17733	24091
424	17776	24050
425	17816	24006
426	17859	23965
427	17903	23927
428	17944	23883
429	17987	23844
430	18031	23804
431	18069	23758
432	18110	23715
433	18152	23673
434	18197	23635
435	18239	23594
436	18283	23554
437	18328	23516
438	18367	23472
439	18410	23431
440	18454	23392
441	18497	23351
442	18542	23314
443	18584	23272
444	18626	23230
445	18670	23191
446	18713	23151
447	18758	23112
448	18804	23075
449	18844	23032
450	18889	22994
451	18935	22956
452	18977	22915
453	19020	22874
454	19062	22832
455	19102	22788
456	19144	22746
457	19186	22705
458	19227	22662
459	19270	22622
460	19313	22581
461	19356	22541
462	19399	22499
463	19439	22455
464	19487	22421
465	19530	22380
466	19572	22338
467	19612	22294
468	19657	22255
469	19700	22214
470	19742	22173
471	19785	22133
472	19827	22090
473	19872	22052
474	19918	22015
475	19962	21975
476	20008	21938
477	20050	21896
478	20095	21857
479	20139	21817
480	20176	21770
481	20220	21730
482	20268	21695
483	20313	21657
484	20354	21613
485	20389	21564
486	20430	21520
487	20471	21478
488	20515	21438
489	20561	21401
490	20601	21356
491	20638	21309
492	20683	21271
493	20720	21224
494	20766	21185
495	20813	21148
496	20849	21101
497	20896	21064
498	20940	21024
499	20984	20984
500	21031	20947
501	21074	20906
502	21119	20867
503	21162	20826
504	21205	20785
505	21250	20746
506	21289	20701
507	21331	20659
508	21373	20617
509	21413	20574
510	21449	20526
511	21494	20486
512	21528	20437
513	21559	20384
514	21592	20335
515	21632	20291
516	21670	20245
517	21714	20205
518	21757	20164
519	21801	20124
520	21841	20080
521	21888	20043
522	21931	20002
523	21976	19963
524	22019	19922
525	22059	19879
526	22106	19841
527	22150	19801
528	22191	19758
529	22234	19717
530	22279	19678
531	22327	19641
532	22368	19598
533	22409	19555
534	22454	19516
535	22491	19470
536	22534	19429
537	22578	19389
538	22618	19345
539	22661	19304
540	22703	19262
541	22746	19221
542	22789	19180
543	22834	19140
544	22879	19101
545	22918	19056
546	22959	19014
547	23010	18979
548	23048	18934
549	23092	18893
550	23137	18854
551	23178	18811
552	23221	18770
553	23263	18728
554	23311	18691
555	23353	18649
556	23395	18607
557	23439	18566
558	23480	18524
559	23522	18482
560	23566	18441
561	23607	18398
562	23648	18355
563	23686	18311
564	23726	18267
565	23771	18227
566	23814	18186
567	23859	18146
568	23902	18105
569	23946	18065
570	23988	18022
571	24030	17981
572	24072	17938
573	24113	17895
574	24156	17854
575	24202	17815
576	24247	17775
577	24290	17734
578	24334	17693
579	24374	17650
580	24418	17609
581	24459	17567
582	24505	17528
583	24549	17487
584	24592	17445
585	24630	17401
586	24674	17360
587	24716	17318
588	24755	17274
589	24805	17237
590	24846	17194
591	24893	17156
592	24940	17117
593	24984	17077
594	25030	17037
595	25068	16992
596	25113	16952
597	25155	16910
598	25198	16868
599	25240	16827
600	25280	16783
601	25323	16742
602	25364	16699
603	25407	16657
604	25449	16615
605	25489	16572
606	25536	16533
607	25578	16491
608	25619	16448
609	25665	16409
610	25706	16366
611	25748	16324
612	25791	16282
613	25837	16242
614	25881	16202
615	25927	16162
616	25971	16121
617	26015	16081
618	26058	16039
619	26100	15997
620	26146	15957
621	26188	15915
622	26235	15876
623	26278	15834
624	26322	15793
625	26364	15751
626	26406	15709
627	26452	15669
628	26494	15627
629	26538	15585
630	26580	15543
631	26618	15499
632	26662	15458
633	26706	15417
634	26741	15371
635	26786	15330
636	26823	15285
637	26867	15244
638	26913	15204
639	26953	15161
640	27004	15123
641	27045	15081
642	27088	15039
643	27132	14998
644	27176	14957
645	27220	14916
646	27259	14872
647	27302	14831
648	27342	14787
649	27385	14746
650	27429	14704
651	27472	14662
652	27511	14619
653	27556	14578
654	27597	14536
655	27644	14496
656	27688	14455
657	27730	14413
658	27777	14373
659	27821	14332
660	27865	14291
661	27905	14247
662	27944	14203
663	27987	14162
664	28032	14121
665	28076	14080
666	28116	14037
667	28159	13995
668	28203	13954
669	28240	13909
670	28283	13867
671	28328	13826
672	28374	13786
673	28423	13748
674	28464	13704
675	28501	13660
676	28538	13616
677	28581	13574
678	28617	13528
679	28648	13481
680	28685	13437
681	28718	13390
682	28751	13344
683	28787	13299
684	28828	13256
685	28863	13211
686	28897	13165
687	28931	13120
688	28964	13073
689	28997	13027
690	29045	12988
691	29084	12945
692	29117	12899
693	29151	12853
694	29186	12808
695	29225	12765
696	29270	12724
697	29302	12678
698	29331	12630
699	29367	12585
700	29401	12540
701	29429	12492
702	29466	12448
703	29511	12408
704	29544	12362
705	29576	12316
706	29604	12269
707	29638	12223
708	29673	12179
709	29709	12134
710	29756	12095
711	29793	12051
712	29825	12005
713	29861	11961
714	29890	11914
715	29924	11869
716	29964	11826
717	30006	11785
718	30037	11739
719	30072	11694
720	30103	11649
721	30134	11602
722	30168	11558
723	30210	11516
724	30242	11471
725	30276	11426
726	30312	11382
727	30347	11338
728	30380	11293
729	30413	11248
730	30455	11207
731	30490	11163
732	30524	11118
733	30557	11074
734	30584	11027
735	30619	10983
736	30666	10943
737	30699	10898
738	30733	10854
739	30766	10809
740	30800	10765
741	30869	10733
742	30905	10690
743	30947	10648
744	30977	10602
745	31014	10559
746	31043	10514
747	31087	10473
748	31119	10428
749	31152	10384
750	31186	10340
751	31223	10297
752	31257	10253
753	31295	10210
754	31337	10169
755	31370	10124
756	31402	10080
757	31440	10037
758	31472	9993
759	31507	9949
760	31543	9906
761	31580	9863
762	31612	9819
763	31644	9774
764	31683	9732
765	31712	9687
766	31742	9642
767	31786	9602
768	31825	9559
769	31874	9520
770	31916	9479
771	31962	9439
772	32007	9399
773	32052	9358
774	32100	9319
775	32145	9279
776	32188	9238
777	32234	9198
778	32280	9157
779	32323	9116
780	32368	9076
781	32410	9035
782	32457	8995
783	32495	8952
784	32535	8911
785	32578	8869
786	32620	8828
787	32664	8788
788	32709	8747
789	32752	8706
790	32801	8666
791	32845	8625
792	32891	8585
793	32932	8544
794	32978	8503
795	33021	8462
796	33062	8421
797	33111	8381
798	33154	8340
799	33201	8300
800	33244	8259
801	33286	8217
802	33331	8177
803	33372	8135
804	33417	8094
805	33465	8054
806	33502	8012
807	33546	7971
808	33587	7929
809	33629	7888
810	33672	7847
811	33713	7805
812	33757	7764
813	33800	7723
814	33842	7682
815	33887	7641
816	33928	7599
817	33974	7559
818	34018	7518
819	34063	7477
820	34105	7435
821	34146	7394
822	34194	7354
823	34236	7312
824	34279	7271
825	34320	7229
826	34365	7189
827	34409	7147
828	34454	7107
829	34496	7065
830	34539	7024
831	34582	6983
832	34627	6942
833	34680	6902
834	34718	6860
835	34764	6819
836	34803	6777
837	34842	6735
838	34886	6694
839	34928	6653
840	34971	6611
841	35013	6570
842	35059	6529
843	35102	6488
844	35144	6446
845	35187	6405
846	35230	6363
847	35272	6322
848	35314	6280
849	35356	6239
850	35401	6198
