iter	Logloss
353	0.2962554927
354	0.2961473616
355	0.2959648184
356	0.2958244786
357	0.2957002935
358	0.2955833004
359	0.2954251947
360	0.2953303565
361	0.2952412165
362	0.2950977885
363	0.2949981249
364	0.2948824996
365	0.2947957513
366	0.2947115206
367	0.2946028272
368	0.2945164565
369	0.2944232967
370	0.2943484231
371	0.2942611713
372	0.2941376576
373	0.294008303
374	0.2939312223
375	0.2938219834
376	0.2937154635
377	0.2936183091
378	0.2935239073
379	0.2934296984
380	0.2933217603
381	0.2932403661
382	0.2931277872
383	0.2930277459
384	0.2929759923
385	0.2928304915
386	0.2926882132
387	0.2925582712
388	0.2924805443
389	0.2923790176
390	0.2922769287
391	0.2921652477
392	0.2921212148
393	0.2920297921
394	0.2919595929
395	0.2918735663
396	0.2917578068
397	0.2916576732
398	0.2915199098
399	0.2914618454
400	0.2913458426
401	0.2912525821
402	0.291171448
403	0.2911495365
404	0.2910772896
405	0.2910016775
406	0.2909117402
407	0.2907911385
408	0.290712329
409	0.2906385296
410	0.2905440774
411	0.2904888663
412	0.2903879187
413	0.2902685255
414	0.2901951037
415	0.2901281941
416	0.2899997123
417	0.2898801848
418	0.2897841465
419	0.2897000333
420	0.289593077
421	0.2895001858
422	0.289418288
423	0.2893558011
424	0.2892703787
425	0.2892145886
426	0.2890949855
427	0.2890177202
428	0.2889423515
429	0.2888676625
430	0.2887559899
431	0.2886855641
432	0.2886121003
433	0.2884775343
434	0.2883481545
435	0.2882465188
436	0.2881497085
437	0.2880899657
438	0.2879677527
439	0.2879226456
440	0.2878114933
441	0.2877173768
442	0.2876301669
443	0.2875715235
444	0.2874909769
445	0.2873932518
446	0.2873292711
447	0.2872233638
448	0.2871288864
449	0.2870597698
450	0.2869090155
451	0.2868219735
452	0.2867685247
453	0.2866447089
454	0.2865432913
455	0.2864230421
456	0.2863405737
457	0.2862731103
458	0.2862284312
459	0.286117304
460	0.2860051028
461	0.2858966863
462	0.2858064804
463	0.2857085036
464	0.2856298536
465	0.285480526
466	0.2853677373
467	0.2852649183
468	0.2851579704
469	0.2850570395
470	0.284990365
471	0.2849239925
472	0.2848287766
473	0.2847523841
474	0.2846697143
475	0.2845764202
476	0.2844838898
477	0.2843798036
478	0.2842419479
479	0.2841298053
480	0.2840391715
481	0.2839424619
482	0.2838793707
483	0.2837703752
484	0.2837204342
485	0.2836268632
486	0.2835983052
487	0.2835071846
488	0.283431069
489	0.2833537576
490	0.2832930749
491	0.2831986269
492	0.2830361532
493	0.2829252233
494	0.2828647
495	0.2827541897
496	0.2826399072
497	0.2825611355
498	0.2824952498
499	0.2823794987
