iter	Logloss
0	0.5955206993
1	0.5314416318
2	0.48595943
3	0.4560297212
4	0.4323785604
5	0.4166191035
6	0.4050930846
7	0.397041496
8	0.389915245
9	0.3853992644
10	0.3812715239
11	0.3780323387
12	0.3758987853
13	0.3730609988
14	0.3714461057
15	0.3697165777
16	0.3678033987
17	0.3666628897
18	0.3653073436
19	0.36431847
20	0.363304991
21	0.3626182133
22	0.3615422642
23	0.3608109249
24	0.3598728817
25	0.3592766539
26	0.358636452
27	0.3579993382
28	0.3575043602
29	0.3570914644
30	0.356605214
31	0.355972867
32	0.3556493127
33	0.3552811044
34	0.3547550843
35	0.3542608867
36	0.3537988305
37	0.3533773581
38	0.3528867523
39	0.3524889538
40	0.3521622608
41	0.3519074204
42	0.3515849906
43	0.3509801778
44	0.3505435242
45	0.3502277242
46	0.3498462817
47	0.3494822779
48	0.3491012718
49	0.3487399954
50	0.3484232134
51	0.347932339
52	0.3475823163
53	0.347168959
54	0.3468468062
55	0.3464685611
56	0.3460267129
57	0.3457474684
58	0.3454808792
59	0.3451374106
60	0.3449623195
61	0.34464756
62	0.3443160585
63	0.3441840604
64	0.3438838024
65	0.3437012675
66	0.3433099309
67	0.3428381064
68	0.3425526015
69	0.3423162487
70	0.3420635146
71	0.3417140961
72	0.3413436388
73	0.3411347447
74	0.3408508511
75	0.3404962295
76	0.3402366895
77	0.3399744305
78	0.3396819351
79	0.3393648175
80	0.3390924293
81	0.3389432024
82	0.3387427003
83	0.3384609466
84	0.3381655392
85	0.337820216
86	0.3374814217
87	0.3373152178
88	0.3370055355
89	0.336737721
90	0.3364013773
91	0.3360907802
92	0.3358718912
93	0.3356361174
94	0.3353795482
95	0.3351037277
96	0.334761048
97	0.3345579863
98	0.3343863443
99	0.3341295318
100	0.3338334529
101	0.3336554498
102	0.3334025815
103	0.3331233874
104	0.3329385112
105	0.3326609871
106	0.33244929
107	0.3322132393
108	0.3319110008
109	0.331698926
110	0.3314325298
111	0.3312153947
112	0.3309491998
113	0.3307348844
114	0.330493102
115	0.3303039458
116	0.3301269582
117	0.3299274966
118	0.3296347075
119	0.3294269714
120	0.3292383021
121	0.3290236594
122	0.3288465374
123	0.3287037136
124	0.3283459199
125	0.328118899
126	0.3278265294
127	0.3276275127
128	0.3273348746
129	0.3270369243
130	0.3268386797
131	0.3266591324
132	0.326438993
133	0.3262419316
134	0.3259818042
135	0.3257728681
136	0.3255693028
137	0.3254118602
138	0.3251906046
139	0.3250361746
140	0.3248664125
141	0.3247083488
142	0.3244563532
143	0.3242858694
144	0.3241208571
145	0.3239922998
146	0.323891713
147	0.3236143568
148	0.3234354809
149	0.3232735317
150	0.3229854505
151	0.3228190031
152	0.3225700623
153	0.3224306121
154	0.322202987
155	0.3220713581
156	0.3219456289
157	0.3217994399
158	0.3216450687
159	0.3214921662
160	0.321340321
161	0.3211450722
162	0.3210312765
163	0.3207661558
164	0.3206204451
165	0.3204860721
166	0.320299249
167	0.3201527747
168	0.3199408846
169	0.3197160624
170	0.319584014
171	0.3193767563
172	0.3192280665
173	0.3189826335
174	0.3188463051
175	0.318685514
176	0.3185714497
177	0.3185241187
178	0.3183952089
179	0.3182296596
180	0.3181146218
181	0.3179511368
182	0.3177727477
183	0.3176315771
184	0.3174689062
185	0.3173273664
186	0.3171592659
187	0.3170114405
188	0.3168544006
189	0.3167002392
190	0.3165068619
191	0.3163523816
192	0.3160635619
193	0.3159479702
194	0.315804794
195	0.3156594862
196	0.3155073808
197	0.3153515242
198	0.3152153218
199	0.315086135
200	0.314984407
201	0.3148843573
202	0.3147704524
203	0.3146001364
204	0.3144244075
205	0.3141897918
206	0.3140806956
207	0.3139424538
208	0.3138509473
209	0.3137407433
210	0.3135385124
211	0.3133779982
212	0.3132590581
213	0.313141872
214	0.3129867203
215	0.3129079193
216	0.3127360675
217	0.3125514179
218	0.3122832761
219	0.312164999
220	0.3119432567
221	0.3117661767
222	0.3115789675
223	0.3114816452
224	0.3113515857
225	0.3112088291
226	0.3110998923
227	0.3109589399
228	0.3108452281
229	0.3107237872
230	0.3106079437
231	0.3104547894
232	0.3102716168
233	0.3101597092
234	0.3100270481
235	0.309900807
236	0.3098211583
237	0.3096868944
238	0.3095747015
239	0.3094560132
240	0.3093480415
241	0.3092188883
242	0.3090996293
243	0.3089436385
244	0.3088444196
245	0.3087589805
246	0.3086127076
247	0.3085077066
248	0.308402798
249	0.3083350408
250	0.3082753064
251	0.3081462791
252	0.3080256355
253	0.3079107655
254	0.3077942843
255	0.3076616232
256	0.3075281817
257	0.3073435909
258	0.3072276132
259	0.3071170567
260	0.3069999209
261	0.3068654388
262	0.3067393991
263	0.3065960298
264	0.306476175
265	0.3063699488
266	0.3062306581
267	0.3060779821
268	0.3059958326
269	0.3058747106
270	0.3056986124
271	0.3055876028
272	0.3054726825
273	0.3053585259
274	0.3052520144
275	0.3051427083
276	0.3049643275
277	0.3048038805
278	0.3047171154
279	0.3045932241
280	0.3044413033
281	0.3043602196
282	0.3042106235
283	0.3040923548
284	0.3040191848
285	0.3039280139
286	0.3038041393
287	0.3036433482
288	0.3034589923
289	0.3033429391
290	0.3032094136
291	0.3031013412
292	0.302998111
293	0.3028810171
294	0.3026110375
295	0.3024826899
296	0.3023402858
297	0.3022132893
298	0.3020309895
299	0.3019233199
300	0.3018179665
301	0.3016780464
302	0.30157203
303	0.3014889406
304	0.3013981222
305	0.3013313804
306	0.3012067422
307	0.301085553
308	0.3009437698
309	0.3007718258
310	0.3006734965
311	0.3005972634
312	0.3004646359
313	0.3003854236
314	0.3002798185
315	0.3001803479
316	0.3000713691
317	0.2999895889
318	0.2998632218
319	0.2997550739
320	0.2996583391
321	0.2995331889
322	0.2994528353
323	0.2993362786
324	0.2992177665
325	0.299099867
326	0.2989565229
327	0.2988774617
328	0.2987881958
329	0.2987125669
330	0.298554562
331	0.2984568537
332	0.2983410102
333	0.2982462811
334	0.2981109934
335	0.2980066134
336	0.2979260585
337	0.2978186826
338	0.297725313
339	0.2976407298
340	0.297542325
341	0.2974688277
342	0.2973922253
343	0.2973274305
344	0.297205142
345	0.2970756867
346	0.2969866139
347	0.2968796324
348	0.2967995977
349	0.2966476015
350	0.2965561452
351	0.2964588901
352	0.2963634225
